Stazione,Monte S. Quirico,,,,,,,,,,,,,,
Codice,TOS02004291,,,,,,,,,,,,,,
Comune,Lucca,,,,,,,,,,,,,,
Provincia,LU,,,,,,,,,,,,,,
GB [m],E,1621131,N,4857138,,,,,,,,,,,
WGS84 [°],Lat,43.857,Lon,10.507,,,,,,,,,,,
Quota [m],25,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
13/04/2004,30,334,V,,,,,,,,,,,,
14/04/2004,25,602,V,,,,,,,,,,,,
15/04/2004,29,556,V,,,,,,,,,,,,
16/04/2004,35,431,V,,,,,,,,,,,,
17/04/2004,25,92,V,,,,,,,,,,,,
18/04/2004,39,498,V,,,,,,,,,,,,
19/04/2004,120,423,V,,,,,,,,,,,,
20/04/2004,133,898,V,,,,,,,,,,,,
21/04/2004,101,165,V,,,,,,,,,,,,
22/04/2004,79,589,V,,,,,,,,,,,,
23/04/2004,76,251,V,,,,,,,,,,,,
24/04/2004,61,374,V,,,,,,,,,,,,
25/04/2004,58,264,V,,,,,,,,,,,,
26/04/2004,56,612,V,,,,,,,,,,,,
27/04/2004,50,293,V,,,,,,,,,,,,
28/04/2004,45,601,V,,,,,,,,,,,,
29/04/2004,39,618,V,,,,,,,,,,,,
30/04/2004,41,982,V,,,,,,,,,,,,
01/05/2004,38,694,V,,,,,,,,,,,,
02/05/2004,28,675,V,,,,,,,,,,,,
03/05/2004,38,395,V,,,,,,,,,,,,
04/05/2004,77,166,V,,,,,,,,,,,,
05/05/2004,222,683,V,,,,,,,,,,,,
06/05/2004,236,487,V,,,,,,,,,,,,
07/05/2004,180,890,V,,,,,,,,,,,,
08/05/2004,195,796,V,,,,,,,,,,,,
09/05/2004,160,469,V,,,,,,,,,,,,
10/05/2004,126,876,V,,,,,,,,,,,,
11/05/2004,110,624,V,,,,,,,,,,,,
12/05/2004,102,92,V,,,,,,,,,,,,
13/05/2004,89,856,V,,,,,,,,,,,,
14/05/2004,81,749,V,,,,,,,,,,,,
15/05/2004,62,939,V,,,,,,,,,,,,
16/05/2004,49,807,V,,,,,,,,,,,,
17/05/2004,49,223,V,,,,,,,,,,,,
18/05/2004,48,204,V,,,,,,,,,,,,
19/05/2004,41,894,V,,,,,,,,,,,,
20/05/2004,45,616,V,,,,,,,,,,,,
21/05/2004,42,329,V,,,,,,,,,,,,
22/05/2004,29,212,V,,,,,,,,,,,,
23/05/2004,24,672,V,,,,,,,,,,,,
24/05/2004,33,331,V,,,,,,,,,,,,
25/05/2004,25,454,V,,,,,,,,,,,,
26/05/2004,22,175,V,,,,,,,,,,,,
27/05/2004,20,791,V,,,,,,,,,,,,
28/05/2004,27,626,V,,,,,,,,,,,,
29/05/2004,18,296,V,,,,,,,,,,,,
30/05/2004,13,892,V,,,,,,,,,,,,
31/05/2004,20,255,V,,,,,,,,,,,,
01/06/2004,43,441,V,,,,,,,,,,,,
02/06/2004,33,214,V,,,,,,,,,,,,
03/06/2004,33,237,V,,,,,,,,,,,,
04/06/2004,26,432,V,,,,,,,,,,,,
05/06/2004,22,6,V,,,,,,,,,,,,
06/06/2004,14,378,V,,,,,,,,,,,,
07/06/2004,21,549,V,,,,,,,,,,,,
08/06/2004,19,557,V,,,,,,,,,,,,
09/06/2004,19,221,V,,,,,,,,,,,,
10/06/2004,14,477,V,,,,,,,,,,,,
11/06/2004,10,646,V,,,,,,,,,,,,
12/06/2004,10,896,V,,,,,,,,,,,,
13/06/2004,10,103,V,,,,,,,,,,,,
14/06/2004,12,507,V,,,,,,,,,,,,
15/06/2004,14,607,V,,,,,,,,,,,,
16/06/2004,12,501,V,,,,,,,,,,,,
17/06/2004,14,275,V,,,,,,,,,,,,
18/06/2004,11,840,V,,,,,,,,,,,,
19/06/2004,8,938,V,,,,,,,,,,,,
20/06/2004,7,74,V,,,,,,,,,,,,
21/06/2004,11,215,V,,,,,,,,,,,,
22/06/2004,13,38,V,,,,,,,,,,,,
23/06/2004,7,153,V,,,,,,,,,,,,
24/06/2004,10,118,V,,,,,,,,,,,,
25/06/2004,8,41,V,,,,,,,,,,,,
26/06/2004,5,405,V,,,,,,,,,,,,
27/06/2004,4,493,V,,,,,,,,,,,,
28/06/2004,6,433,V,,,,,,,,,,,,
29/06/2004,9,457,V,,,,,,,,,,,,
30/06/2004,6,901,V,,,,,,,,,,,,
01/07/2004,5,279,V,,,,,,,,,,,,
02/07/2004,9,546,V,,,,,,,,,,,,
03/07/2004,4,17,V,,,,,,,,,,,,
04/07/2004,2,657,V,,,,,,,,,,,,
05/07/2004,4,447,V,,,,,,,,,,,,
06/07/2004,6,849,V,,,,,,,,,,,,
07/07/2004,6,191,V,,,,,,,,,,,,
08/07/2004,5,802,V,,,,,,,,,,,,
09/07/2004,4,397,V,,,,,,,,,,,,
10/07/2004,4,792,V,,,,,,,,,,,,
11/07/2004,1,700,V,,,,,,,,,,,,
12/07/2004,3,246,V,,,,,,,,,,,,
13/07/2004,8,344,V,,,,,,,,,,,,
14/07/2004,3,790,V,,,,,,,,,,,,
15/07/2004,2,987,V,,,,,,,,,,,,
16/07/2004,3,215,V,,,,,,,,,,,,
17/07/2004,3,463,V,,,,,,,,,,,,
18/07/2004,1,841,V,,,,,,,,,,,,
19/07/2004,2,94,V,,,,,,,,,,,,
20/07/2004,4,865,V,,,,,,,,,,,,
21/07/2004,4,39,V,,,,,,,,,,,,
22/07/2004,3,379,V,,,,,,,,,,,,
23/07/2004,3,30,V,,,,,,,,,,,,
24/07/2004,2,963,V,,,,,,,,,,,,
25/07/2004,4,441,V,,,,,,,,,,,,
26/07/2004,4,229,V,,,,,,,,,,,,
27/07/2004,3,892,V,,,,,,,,,,,,
28/07/2004,3,925,V,,,,,,,,,,,,
29/07/2004,2,757,V,,,,,,,,,,,,
30/07/2004,3,504,V,,,,,,,,,,,,
31/07/2004,3,595,V,,,,,,,,,,,,
01/08/2004,2,120,V,,,,,,,,,,,,
02/08/2004,2,559,V,,,,,,,,,,,,
03/08/2004,2,579,V,,,,,,,,,,,,
04/08/2004,3,990,V,,,,,,,,,,,,
05/08/2004,6,792,V,,,,,,,,,,,,
06/08/2004,9,573,V,,,,,,,,,,,,
07/08/2004,4,263,V,,,,,,,,,,,,
08/08/2004,5,689,V,,,,,,,,,,,,
09/08/2004,5,570,V,,,,,,,,,,,,
10/08/2004,3,870,V,,,,,,,,,,,,
11/08/2004,3,630,V,,,,,,,,,,,,
12/08/2004,3,35,V,,,,,,,,,,,,
13/08/2004,2,964,V,,,,,,,,,,,,
14/08/2004,2,751,V,,,,,,,,,,,,
15/08/2004,2,86,V,,,,,,,,,,,,
16/08/2004,2,27,V,,,,,,,,,,,,
17/08/2004,1,733,V,,,,,,,,,,,,
18/08/2004,1,717,V,,,,,,,,,,,,
19/08/2004,1,571,V,,,,,,,,,,,,
20/08/2004,1,679,V,,,,,,,,,,,,
21/08/2004,3,675,V,,,,,,,,,,,,
22/08/2004,2,687,V,,,,,,,,,,,,
23/08/2004,2,684,V,,,,,,,,,,,,
24/08/2004,1,865,V,,,,,,,,,,,,
25/08/2004,1,709,V,,,,,,,,,,,,
26/08/2004,1,299,V,,,,,,,,,,,,
27/08/2004,1,219,V,,,,,,,,,,,,
28/08/2004,1,156,V,,,,,,,,,,,,
29/08/2004,1,168,V,,,,,,,,,,,,
30/08/2004,1,173,V,,,,,,,,,,,,
31/08/2004,1,121,V,,,,,,,,,,,,
01/09/2004,1,152,V,,,,,,,,,,,,
02/09/2004,1,106,V,,,,,,,,,,,,
03/09/2004,1,570,V,,,,,,,,,,,,
04/09/2004,1,419,V,,,,,,,,,,,,
05/09/2004,1,16,V,,,,,,,,,,,,
06/09/2004,0,999,V,,,,,,,,,,,,
07/09/2004,1,8,V,,,,,,,,,,,,
08/09/2004,1,410,V,,,,,,,,,,,,
09/09/2004,1,2,V,,,,,,,,,,,,
10/09/2004,1,44,V,,,,,,,,,,,,
11/09/2004,1,43,V,,,,,,,,,,,,
12/09/2004,1,104,V,,,,,,,,,,,,
13/09/2004,1,136,V,,,,,,,,,,,,
14/09/2004,8,162,V,,,,,,,,,,,,
15/09/2004,14,296,V,,,,,,,,,,,,
16/09/2004,7,97,V,,,,,,,,,,,,
17/09/2004,3,340,V,,,,,,,,,,,,
18/09/2004,1,504,V,,,,,,,,,,,,
19/09/2004,1,527,V,,,,,,,,,,,,
20/09/2004,1,457,V,,,,,,,,,,,,
21/09/2004,1,851,V,,,,,,,,,,,,
22/09/2004,3,802,V,,,,,,,,,,,,
23/09/2004,1,789,V,,,,,,,,,,,,
24/09/2004,4,784,V,,,,,,,,,,,,
25/09/2004,1,680,V,,,,,,,,,,,,
26/09/2004,2,280,V,,,,,,,,,,,,
27/09/2004,1,302,V,,,,,,,,,,,,
28/09/2004,1,328,V,,,,,,,,,,,,
29/09/2004,1,382,V,,,,,,,,,,,,
30/09/2004,1,638,V,,,,,,,,,,,,
01/10/2004,2,30,V,,,,,,,,,,,,
02/10/2004,2,195,V,,,,,,,,,,,,
03/10/2004,1,633,V,,,,,,,,,,,,
04/10/2004,1,712,V,,,,,,,,,,,,
05/10/2004,1,529,V,,,,,,,,,,,,
06/10/2004,1,324,V,,,,,,,,,,,,
07/10/2004,1,478,V,,,,,,,,,,,,
08/10/2004,1,627,V,,,,,,,,,,,,
09/10/2004,1,418,V,,,,,,,,,,,,
10/10/2004,11,877,V,,,,,,,,,,,,
11/10/2004,11,112,V,,,,,,,,,,,,
12/10/2004,5,510,V,,,,,,,,,,,,
13/10/2004,3,642,V,,,,,,,,,,,,
14/10/2004,3,168,V,,,,,,,,,,,,
15/10/2004,7,26,V,,,,,,,,,,,,
16/10/2004,14,442,V,,,,,,,,,,,,
17/10/2004,78,795,V,,,,,,,,,,,,
18/10/2004,28,989,V,,,,,,,,,,,,
