serialnumber,CruiseNumber,day,month,year,time,Site,STATION,latitude,longitude,CTD,Depth,Bottle1,Bottle2,Bottle3,FilteredVolume,Chlorophyll_c3,Chlorophyll_c2,Chlorophyll_c1,Chlorophyll_c-like1,sum_Chld_a,Peridinin,sum_Phbd_a,19'-Butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,Violaxanthin,19'-Hexanoyloxyfucoxanthin,Diadinoxanthin,Alloxanthin,Diatoxanthin,Zeaxanthin,Lutein,Divinyl_Chlorophyll_b,Chlorophyll_b,TChlb,Bacteriochlorophyll_a,Divinyl_Chlorophyll_a,Chla,Tchla,Sum_carotene_a_+_b,Phaeophytin_a,DP,Flags,ap_measurement,APsample1,APsample2,APsample3,picoChla,nanoChla,microChla
1,1,24,7,2001,-9,boussole,B2407QU01,43.367,7.900,-9,1,-9,-9,-9,2.80,0.0000,0.0120,0.0000,-1.0000,0.0000,0.0130,0.0000,0.0100,0.0070,-1.0000,-1.0000,0.0000,0.0300,0.0280,0.0000,0.0180,0.0130,0.0030,-1.0000,-1.0000,0.0110,-1.0000,0.0000,0.1160,0.1160,0.0130,-1.0000,0.0921,A,no,nosample,nosample,nosample,0.0281,0.0524,0.0355
2,1,24,7,2001,-9,boussole,B2407QU02,43.367,7.900,-9,1,-9,-9,-9,2.80,0.0000,0.0080,0.0000,-1.0000,0.0000,0.0080,0.0000,0.0070,0.0040,-1.0000,-1.0000,0.0000,0.0220,0.0150,0.0000,0.0110,0.0110,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0860,0.0860,0.0070,-1.0000,0.0568,A,no,nosample,nosample,nosample,0.0143,0.0460,0.0256
3,1,22,7,2001,13.60,boussole,B2207001,43.365,7.905,1,5,1,2,-9,2.80,0.0060,0.0130,0.0000,-1.0000,0.0000,0.0110,0.0000,0.0100,0.0050,-1.0000,-1.0000,0.0000,0.0390,0.0180,0.0000,0.0140,0.0170,0.0000,-1.0000,-1.0000,0.0110,-1.0000,0.0000,0.1180,0.1180,0.0080,-1.0000,0.1013,A,no,nosample,nosample,nosample,0.0300,0.0618,0.0263
4,1,22,7,2001,15.57,boussole,B2207002,43.344,7.922,2,5,1,2,-9,2.75,0.0060,0.0130,0.0000,-1.0000,0.0000,0.0100,0.0000,0.0090,0.0130,-1.0000,-1.0000,0.0000,0.0370,0.0200,0.0000,0.0110,0.0150,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.1170,0.1170,0.0070,-1.0000,0.0955,A,no,nosample,nosample,nosample,0.0158,0.0614,0.0397
5,1,23,7,2001,12.20,boussole,B2307003,43.393,7.937,3,5,1,2,-9,2.80,0.0000,0.0140,0.0000,-1.0000,0.0000,0.0200,0.0000,0.0080,0.0050,-1.0000,-1.0000,0.0000,0.0350,0.0290,0.0000,0.0110,0.0140,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.1170,0.1170,0.0080,-1.0000,0.0945,A,no,nosample,nosample,nosample,0.0149,0.0585,0.0436
6,1,23,7,2001,15.87,boussole,B2307004,43.382,7.929,4,5,1,2,-9,2.80,0.0050,0.0140,0.0000,-1.0000,0.0000,0.0150,0.0000,0.0090,0.0070,-1.0000,-1.0000,0.0000,0.0390,0.0250,0.0000,0.0080,0.0140,0.0000,-1.0000,-1.0000,0.0090,-1.0000,0.0000,0.1150,0.1150,0.0080,-1.0000,0.1048,A,no,nosample,nosample,nosample,0.0232,0.0578,0.0340
7,1,24,7,2001,7.63,boussole,B2407005,43.367,7.904,5,5,1,2,-9,2.00,0.0110,0.0290,0.0000,-1.0000,0.0000,0.0330,0.0000,0.0210,0.0130,-1.0000,-1.0000,0.0000,0.0740,0.0380,0.0000,0.0160,0.0270,0.0000,-1.0000,-1.0000,0.0180,-1.0000,0.0000,0.2140,0.2140,0.0130,-1.0000,0.2076,A,no,nosample,nosample,nosample,0.0427,0.1045,0.0669
8,1,24,7,2001,9.63,boussole,B2407006,43.373,7.901,6,5,1,2,-9,2.80,0.0000,0.0120,0.0000,-1.0000,0.0000,0.0110,0.0000,0.0100,0.0060,-1.0000,-1.0000,0.0000,0.0370,0.0290,0.0000,0.0280,0.0170,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.1170,0.1170,0.0090,-1.0000,0.0891,A,no,nosample,nosample,nosample,0.0192,0.0663,0.0315
9,1,24,7,2001,13.83,boussole,B2407007,43.383,7.902,7,5,1,2,-9,2.80,0.0000,0.0060,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0060,0.0050,-1.0000,-1.0000,0.0000,0.0240,0.0150,0.0000,0.0180,0.0110,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0670,0.0670,0.0050,-1.0000,0.0491,A,no,nosample,nosample,nosample,0.0129,0.0445,0.0096
10,2,2,9,2001,7.42,boussole,B0901-11,43.368,7.898,1,10,-9,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.0080,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0230,0.0230,0.0000,-1.0000,0.0132,A,no,nosample,nosample,nosample,0.0120,0.0110,0.0000
11,2,2,9,2001,11.43,boussole,B0901-21,43.362,7.884,2,10,-9,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0120,0.0000,0.0000,0.0000,0.0290,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0090,0.0670,0.0760,0.0000,-1.0000,0.0402,A,no,nosample,nosample,nosample,0.0472,0.0288,0.0000
12,2,2,9,2001,11.43,boussole,B0901-22,43.362,7.884,2,5,-9,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0110,0.0000,0.0000,0.0000,0.0290,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0070,0.0540,0.0610,0.0000,-1.0000,0.0389,A,no,nosample,nosample,nosample,0.0391,0.0219,0.0000
13,2,2,9,2001,15.48,boussole,B0901-31,43.370,7.886,3,10,-9,-9,-9,2.00,0.0000,0.0040,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0130,0.0000,0.0000,0.0000,0.0300,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0680,0.0680,0.0000,-1.0000,0.0423,A,no,nosample,nosample,nosample,0.0415,0.0265,0.0000
14,2,2,9,2001,15.48,boussole,B0901-32,43.370,7.886,3,5,-9,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0260,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0450,0.0450,0.0000,-1.0000,0.0325,A,no,nosample,nosample,nosample,0.0309,0.0141,0.0000
15,2,3,9,2001,8.20,boussole,B0901-401,43.372,7.907,4,200,1,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,A,no,nosample,nosample,nosample,0.0000,0.0000,0.0000
16,2,3,9,2001,8.20,boussole,B0901-402,43.372,7.907,4,150,2,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0030,0.0030,0.0000,-1.0000,0.0000,A,no,nosample,nosample,nosample,0.0000,0.0000,0.0000
17,2,3,9,2001,8.20,boussole,B0901-403,43.372,7.907,4,130,3,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,A,no,nosample,nosample,nosample,0.0000,0.0000,0.0000
18,2,3,9,2001,8.20,boussole,B0901-404,43.372,7.907,4,110,4,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0030,0.0030,0.0000,-1.0000,0.0000,A,no,nosample,nosample,nosample,0.0000,0.0000,0.0000
19,2,3,9,2001,8.20,boussole,B0901-405,43.372,7.907,4,90,5,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0090,0.0090,0.0000,-1.0000,0.0000,A,no,nosample,nosample,nosample,0.0000,0.0000,0.0000
20,2,3,9,2001,8.20,boussole,B0901-406,43.372,7.907,4,70,6,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0080,0.0060,-1.0000,-1.0000,0.0000,0.0190,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0370,0.0370,0.0000,-1.0000,0.0354,A,no,nosample,nosample,nosample,0.0000,0.0282,0.0088
21,2,3,9,2001,8.20,boussole,B0901-407,43.372,7.907,4,50,7,-9,-9,2.00,0.0080,0.0100,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0100,0.0110,-1.0000,-1.0000,0.0000,0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0840,0.0840,0.0000,-1.0000,0.0673,A,no,nosample,nosample,nosample,0.0000,0.0646,0.0194
22,2,3,9,2001,8.20,boussole,B0901-409,43.372,7.907,4,30,9,-9,-9,2.00,0.0290,0.0520,0.0000,-1.0000,0.0000,0.0350,0.0000,0.0330,0.0160,-1.0000,-1.0000,0.0000,0.1450,0.0170,0.0050,0.0000,0.0730,0.0000,-1.0000,-1.0000,0.0650,-1.0000,0.0420,0.4280,0.4700,0.0220,-1.0000,0.3990,A,no,nosample,nosample,nosample,0.1513,0.2340,0.0847
23,2,3,9,2001,8.20,boussole,B0901-410,43.372,7.907,4,20,10,-9,-9,2.00,0.0110,0.0220,0.0000,-1.0000,0.0000,0.0140,0.0000,0.0140,0.0070,-1.0000,-1.0000,0.0000,0.0650,0.0090,0.0000,0.0000,0.0400,0.0000,-1.0000,-1.0000,0.0270,-1.0000,0.0110,0.2000,0.2110,0.0090,-1.0000,0.1787,A,no,nosample,nosample,nosample,0.0728,0.1032,0.0350
24,2,3,9,2001,8.20,boussole,B0901-411,43.372,7.907,4,10,11,-9,-9,2.00,0.0000,0.0050,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0210,0.0040,0.0000,0.0000,0.0360,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0140,0.0930,0.1070,0.0060,-1.0000,0.0576,A,no,nosample,nosample,nosample,0.0575,0.0495,0.0000
25,2,3,9,2001,8.20,boussole,B0901-412,43.372,7.907,4,5,12,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0300,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0110,0.0510,0.0620,0.0000,-1.0000,0.0360,A,no,nosample,nosample,nosample,0.0445,0.0175,0.0000
26,2,3,9,2001,11.33,boussole,B0901-51,43.371,7.891,5,10,-9,-9,-9,2.00,0.0000,0.0130,0.0000,-1.0000,0.0000,0.0090,0.0000,0.0070,0.0000,-1.0000,-1.0000,0.0000,0.0400,0.0060,0.0000,0.0000,0.0360,0.0000,-1.0000,-1.0000,0.0260,-1.0000,0.0150,0.1530,0.1690,0.0070,-1.0000,0.1232,A,no,nosample,nosample,nosample,0.0785,0.0731,0.0174
27,2,3,9,2001,11.33,boussole,B0901-52,43.371,7.891,5,5,-9,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0240,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0580,0.0580,0.0000,-1.0000,0.0333,A,no,nosample,nosample,nosample,0.0359,0.0221,0.0000
28,2,3,9,2001,13.78,boussole,B0901-611,43.365,7.878,6,10,11,-9,-9,2.00,0.0000,0.0050,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0140,0.0000,0.0000,0.0000,0.0250,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0770,0.0770,0.0000,-1.0000,0.0393,A,no,nosample,nosample,nosample,0.0421,0.0349,0.0000
29,2,3,9,2001,13.78,boussole,B0901-612,43.365,7.878,6,5,12,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0280,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0530,0.0530,0.0000,-1.0000,0.0342,A,no,nosample,nosample,nosample,0.0373,0.0157,0.0000
30,3,2,10,2001,11.32,boussole,B1001-11,43.366,7.902,1,5,-9,-9,-9,2.00,0.0350,0.0100,0.0000,-1.0000,0.0000,0.0070,0.0000,0.0070,0.0000,-1.0000,-1.0000,0.0000,0.0320,0.0060,0.0000,0.0000,0.0470,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0150,0.1270,0.1420,0.0090,-1.0000,0.0934,A,no,nosample,nosample,nosample,0.0615,0.0655,0.0150
31,3,2,10,2001,11.32,boussole,B1001-12,43.366,7.902,1,5,-9,-9,-9,2.00,0.0220,0.0090,0.0000,-1.0000,0.0000,0.0070,0.0000,0.0070,0.0000,-1.0000,-1.0000,0.0000,0.0340,0.0060,0.0000,0.0000,0.0450,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0170,0.1220,0.1390,0.0080,-1.0000,0.0942,A,no,nosample,nosample,nosample,0.0571,0.0673,0.0146
32,4,4,11,2001,9.45,boussole,B1101-01,43.367,7.900,-9,5,1,-9,-9,2.80,0.0000,0.0060,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0040,0.0000,-1.0000,-1.0000,0.0000,0.0210,0.0030,0.0000,0.0000,0.0370,0.0000,-1.0000,-1.0000,0.0120,-1.0000,0.0260,0.0990,0.1250,0.0080,-1.0000,0.0720,A,no,nosample,nosample,nosample,0.0763,0.0487,0.0000
33,4,4,11,2001,9.45,boussole,B1101-02,43.367,7.900,-9,5,2,-9,-9,2.80,0.0030,0.0080,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0060,0.0000,-1.0000,-1.0000,0.0000,0.0280,0.0040,0.0000,0.0000,0.0420,0.0000,-1.0000,-1.0000,0.0130,-1.0000,0.0260,0.1060,0.1330,0.0100,-1.0000,0.0869,A,no,nosample,nosample,nosample,0.0754,0.0576,0.0000
34,4,4,11,2001,9.75,boussole,B1101-03,43.367,7.900,-9,5,3,-9,-9,2.80,0.0000,0.0060,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0040,0.0000,-1.0000,-1.0000,0.0000,0.0220,0.0030,0.0000,0.0000,0.0310,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0160,0.0860,0.1010,0.0070,-1.0000,0.0560,A,no,nosample,nosample,nosample,0.0481,0.0529,0.0000
35,4,4,11,2001,9.75,boussole,B1101-04,43.367,7.900,-9,5,4,-9,-9,2.80,0.0000,0.0040,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0030,0.0000,-1.0000,-1.0000,0.0000,0.0140,0.0020,0.0000,0.0000,0.0240,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0130,0.0620,0.0750,0.0040,-1.0000,0.0395,A,no,nosample,nosample,nosample,0.0392,0.0358,0.0000
36,4,4,11,2001,13.13,boussole,B1101-12,43.677,7.314,1,5,-9,-9,-9,2.80,0.0120,0.0170,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0110,0.0130,-1.0000,-1.0000,0.0000,0.0590,0.0070,0.0000,0.0000,0.0310,0.0000,-1.0000,-1.0000,0.0110,-1.0000,0.0060,0.1800,0.1860,0.0110,-1.0000,0.1349,A,no,nosample,nosample,nosample,0.0521,0.1086,0.0253
37,4,4,11,2001,10.07,boussole,B1101-25,43.371,7.909,2,5,-9,-9,-9,2.80,0.0040,0.0080,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0070,0.0040,-1.0000,-1.0000,0.0000,0.0310,0.0060,0.0000,0.0000,0.0450,0.0000,-1.0000,-1.0000,0.0120,-1.0000,0.0260,0.1080,0.1340,0.0110,-1.0000,0.0983,A,no,nosample,nosample,nosample,0.0693,0.0570,0.0077
38,4,4,11,2001,10.07,boussole,B1101-26,43.371,7.909,2,5,-9,-9,-9,2.80,0.0030,0.0080,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0050,0.0000,-1.0000,-1.0000,0.0000,0.0260,0.0040,0.0000,0.0000,0.0410,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0260,0.0990,0.1250,0.0090,-1.0000,0.0700,A,no,nosample,nosample,nosample,0.0629,0.0621,0.0000
39,4,4,11,2001,13.23,boussole,B1101-37,43.363,7.910,3,5,-9,-9,-9,2.80,0.0030,0.0070,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0060,0.0020,-1.0000,-1.0000,0.0000,0.0230,0.0040,0.0000,0.0000,0.0440,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0250,0.0890,0.1140,0.0090,-1.0000,0.0720,A,no,nosample,nosample,nosample,0.0599,0.0496,0.0045
40,4,4,11,2001,13.23,boussole,B1101-38,43.363,7.910,3,5,-9,-9,-9,2.80,0.0030,0.0070,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0050,0.0020,-1.0000,-1.0000,0.0000,0.0230,0.0040,0.0000,0.0000,0.0430,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0250,0.0880,0.1130,0.0080,-1.0000,0.0708,A,no,nosample,nosample,nosample,0.0591,0.0494,0.0045
41,5,2,12,2001,13.63,boussole,B1201Q01,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0120,0.0220,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0220,0.0070,-1.0000,-1.0000,0.0000,0.0710,0.0080,0.0060,0.0000,0.0540,0.0000,-1.0000,-1.0000,0.0290,-1.0000,0.0410,0.2110,0.2520,0.0190,-1.0000,0.1871,A,no,nosample,nosample,nosample,0.1020,0.1367,0.0133
42,5,2,12,2001,13.63,boussole,B1201Q02,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0110,0.0200,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0170,0.0050,-1.0000,-1.0000,0.0000,0.0620,0.0060,0.0050,0.0000,0.0530,0.0000,-1.0000,-1.0000,0.0300,-1.0000,0.0410,0.2040,0.2450,0.0180,-1.0000,0.1706,A,no,nosample,nosample,nosample,0.1090,0.1259,0.0101
43,5,2,12,2001,13.92,boussole,B1201Q03,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0070,0.0150,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0100,0.0030,-1.0000,-1.0000,0.0000,0.0410,0.0030,0.0040,0.0000,0.0420,0.0000,-1.0000,-1.0000,0.0230,-1.0000,0.0370,0.1750,0.2130,0.0150,-1.0000,0.1216,A,no,nosample,nosample,nosample,0.1040,0.1016,0.0074
44,5,2,12,2001,13.92,boussole,B1201Q04,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0110,0.0220,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0180,0.0060,-1.0000,-1.0000,0.0000,0.0660,0.0070,0.0060,0.0000,0.0550,0.0000,-1.0000,-1.0000,0.0280,-1.0000,0.0410,0.2060,0.2460,0.0180,-1.0000,0.1778,A,no,nosample,nosample,nosample,0.1046,0.1297,0.0117
45,5,2,12,2001,14.22,boussole,B1201Q05,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0110,0.0240,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0210,0.0060,-1.0000,-1.0000,0.0000,0.0740,0.0090,0.0070,0.0000,0.0550,0.0000,-1.0000,-1.0000,0.0310,-1.0000,0.0470,0.2410,0.2880,0.0210,-1.0000,0.1926,A,no,nosample,nosample,nosample,0.1175,0.1578,0.0127
46,5,2,12,2001,14.22,boussole,B1201Q06,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0100,0.0200,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0160,0.0050,-1.0000,-1.0000,0.0000,0.0570,0.0060,0.0050,0.0000,0.0480,0.0000,-1.0000,-1.0000,0.0270,-1.0000,0.0390,0.1920,0.2300,0.0170,-1.0000,0.1566,A,no,nosample,nosample,nosample,0.1007,0.1190,0.0104
47,5,2,12,2001,11.28,boussole,B1201-11,43.364,7.896,1,5,-9,-9,-9,2.00,0.0100,0.0200,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0180,0.0050,-1.0000,-1.0000,0.0000,0.0630,0.0060,0.0060,0.0000,0.0520,0.0000,-1.0000,-1.0000,0.0260,-1.0000,0.0380,0.2040,0.2430,0.0180,-1.0000,0.1679,A,no,nosample,nosample,nosample,0.1027,0.1301,0.0102
48,5,2,12,2001,11.28,boussole,B1201-12,43.364,7.896,1,5,-9,-9,-9,2.00,0.0110,0.0240,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0230,0.0080,-1.0000,-1.0000,0.0000,0.0810,0.0090,0.0080,0.0070,0.0570,0.0000,-1.0000,-1.0000,0.0260,-1.0000,0.0400,0.2300,0.2700,0.0210,-1.0000,0.2023,A,no,nosample,nosample,nosample,0.1005,0.1545,0.0151
49,5,2,12,2001,13.05,boussole,B1201-21,43.367,7.851,2,5,-9,-9,-9,2.00,0.0090,0.0220,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0190,0.0060,-1.0000,-1.0000,0.0000,0.0680,0.0080,0.0070,0.0000,0.0520,0.0000,-1.0000,-1.0000,0.0240,-1.0000,0.0350,0.2080,0.2430,0.0180,-1.0000,0.1746,A,no,nosample,nosample,nosample,0.0960,0.1353,0.0118
50,5,2,12,2001,13.05,boussole,B1201-22,43.367,7.851,2,5,-9,-9,-9,2.00,0.0120,0.0250,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0230,0.0070,-1.0000,-1.0000,0.0000,0.0800,0.0100,0.0090,0.0000,0.0570,0.0000,-1.0000,-1.0000,0.0250,-1.0000,0.0390,0.2330,0.2720,0.0200,-1.0000,0.1992,A,no,nosample,nosample,nosample,0.1014,0.1571,0.0135
51,5,3,12,2001,10.72,boussole,B1201-31,43.365,7.903,3,5,-9,-9,-9,2.00,0.0130,0.0250,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0220,0.0070,-1.0000,-1.0000,0.0000,0.0810,0.0100,0.0080,0.0000,0.0560,0.0000,-1.0000,-1.0000,0.0330,-1.0000,0.0470,0.2380,0.2850,0.0210,-1.0000,0.2067,A,no,nosample,nosample,nosample,0.1123,0.1591,0.0136
52,5,3,12,2001,10.72,boussole,B1201-32,43.365,7.903,3,5,-9,-9,-9,2.00,0.0140,0.0260,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0250,0.0090,-1.0000,-1.0000,0.0000,0.0880,0.0120,0.0090,0.0070,0.0610,0.0000,-1.0000,-1.0000,0.0350,-1.0000,0.0490,0.2560,0.3040,0.0230,-1.0000,0.2264,A,no,nosample,nosample,nosample,0.1179,0.1691,0.0170
53,5,3,12,2001,12.53,boussole,B1201-42,43.383,7.855,4,5,-9,-9,-9,2.00,0.0140,0.0250,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0240,0.0080,-1.0000,-1.0000,0.0000,0.0850,0.0120,0.0070,0.0000,0.0540,0.0000,-1.0000,-1.0000,0.0290,-1.0000,0.0380,0.2330,0.2710,0.0190,-1.0000,0.2076,A,no,nosample,nosample,nosample,0.0989,0.1574,0.0147
54,7,21,1,2002,10.87,boussole,B0102Q01,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0280,0.0650,0.0000,-1.0000,0.0000,0.0160,0.0000,0.0430,0.0840,-1.0000,-1.0000,0.0170,0.1490,0.0530,0.0420,0.0200,0.0270,0.0080,-1.0000,-1.0000,0.0920,-1.0000,0.0220,0.6370,0.6590,0.0280,-1.0000,0.4866,A,no,nosample,nosample,nosample,0.1573,0.3108,0.1909
55,7,21,1,2002,10.87,boussole,B0102Q02,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0250,0.0610,0.0000,-1.0000,0.0000,0.0110,0.0000,0.0380,0.0780,-1.0000,-1.0000,0.0140,0.1350,0.0430,0.0360,0.0130,0.0310,0.0060,-1.0000,-1.0000,0.0890,-1.0000,0.0210,0.5950,0.6170,0.0250,-1.0000,0.4484,A,no,nosample,nosample,nosample,0.1604,0.2839,0.1727
56,7,21,1,2002,11.20,boussole,B0102Q03,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0320,0.0840,0.0000,-1.0000,0.0000,0.0170,0.0000,0.0460,0.0680,-1.0000,-1.0000,0.0150,0.1830,0.0550,0.0700,0.0300,0.0350,0.0110,-1.0000,-1.0000,0.1110,-1.0000,0.0280,0.7960,0.8240,0.0370,-1.0000,0.5526,A,no,nosample,nosample,nosample,0.2121,0.4332,0.1787
57,7,21,1,2002,11.58,boussole,B0102Q05,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0220,0.0520,0.0000,-1.0000,0.0000,0.0080,0.0000,0.0300,0.0580,-1.0000,-1.0000,0.0100,0.1180,0.0330,0.0380,0.0160,0.0280,0.0060,-1.0000,-1.0000,0.0840,-1.0000,0.0210,0.5480,0.5690,0.0240,-1.0000,0.3851,A,no,nosample,nosample,nosample,0.1609,0.2706,0.1375
58,7,21,1,2002,11.58,boussole,B0102Q06,43.367,7.900,-9,5,-9,-9,-9,2.00,0.0250,0.0610,0.0000,-1.0000,0.0000,0.0150,0.0000,0.0370,0.0630,-1.0000,-1.0000,0.0130,0.1440,0.0400,0.0450,0.0220,0.0310,0.0100,-1.0000,-1.0000,0.0990,-1.0000,0.0260,0.6260,0.6510,0.0280,-1.0000,0.4595,A,no,nosample,nosample,nosample,0.1794,0.3157,0.1558
59,7,21,1,2002,10.58,boussole,B0102-11,43.368,7.901,1,5,-9,-9,-9,2.00,0.0260,0.0660,0.0000,-1.0000,0.0000,0.0140,0.0000,0.0410,0.0810,-1.0000,-1.0000,0.0140,0.1400,0.0470,0.0400,0.0110,0.0320,0.0000,-1.0000,-1.0000,0.0960,-1.0000,0.0220,0.6400,0.6620,0.0270,-1.0000,0.4746,A,no,nosample,nosample,nosample,0.1736,0.3015,0.1868
