5.000000000000000000e+00 1.686617258365622485e-01 2.544000000000000150e-01
1.000000000000000000e+01 1.818942298398992519e-01 2.452999999999999903e-01
2.000000000000000000e+01 2.123807444468765460e-01 2.515999999999999903e-01
2.900000000000000000e+01 2.396296564724700040e-01 2.619000000000000217e-01
3.900000000000000000e+01 2.722571564071238903e-01 3.211999999999999855e-01
5.000000000000000000e+01 2.968862478605381328e-01 1.320000000000000062e-01
6.000000000000000000e+01 2.822745671404243151e-01 1.029000000000000054e-01
7.000000000000000000e+01 2.425540366724423802e-01 6.360000000000000375e-02
8.100000000000000000e+01 1.787869033552069997e-01 3.579999999999999849e-02
1.520000000000000000e+02 1.763335301581280337e-02 1.600000000000000077e-03
2.020000000000000000e+02 1.158504212594830066e-02 1.500000000000000031e-03
3.950000000000000000e+02 5.186101175590906651e-03 5.999999999999999474e-04
